sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
a lady has remembered who the actors conceal.,-92.77384185791016,-98.9468765258789,-94.8282699584961,-67.44717407226562,-67.75283813476562,-69.40194702148438,-112.047607421875,-106.51959991455078,-107.00982666015625,-68.86209869384766,-72.66480255126953,-70.30653381347656,-102.12297058105469,-94.09425354003906,-97.14014434814453,-75.98371124267578,-73.8279800415039,-76.71327209472656
a lady has remembered that the actors conceal.,-87.1554183959961,-94.29976654052734,-91.97234344482422,-60.84291458129883,-60.31446075439453,-60.57180404663086,-100.84038543701172,-100.60955810546875,-100.57492065429688,-60.7326774597168,-64.73711395263672,-62.3355598449707,-94.54983520507812,-91.95464324951172,-92.74886322021484,-63.5993537902832,-59.3798828125,-67.1512680053711
teenagers know what all ladies haven't examined.,-79.57877349853516,-84.86993408203125,-91.52839660644531,-77.5190658569336,-80.99502563476562,-73.09646606445312,-84.21550750732422,-89.14356231689453,-102.69786834716797,-79.15081787109375,-83.5716552734375,-67.63984680175781,-103.81649780273438,-96.80101013183594,-105.68781280517578,-97.48343658447266,-92.77084350585938,-98.1209945678711
teenagers know that all ladies haven't examined.,-75.85335540771484,-82.1714096069336,-86.99337768554688,-76.00054931640625,-78.14500427246094,-66.83885192871094,-80.23011016845703,-85.08889770507812,-96.03054809570312,-77.34515380859375,-79.9416275024414,-63.83730697631836,-104.80661010742188,-95.44078063964844,-108.86497497558594,-95.17951965332031,-90.90518188476562,-96.87440490722656
dancers hadn't figured out who the actress didn't reveal.,-94.35765075683594,-108.55504608154297,-108.18772888183594,-88.52467346191406,-85.03186798095703,-85.11082458496094,-106.80404663085938,-125.17298889160156,-116.45126342773438,-86.79959106445312,-85.99131774902344,-85.039794921875,-103.95619201660156,-107.8858642578125,-103.16525268554688,-89.6554183959961,-87.35755920410156,-88.4139404296875
dancers hadn't figured out that the actress didn't reveal.,-94.14230346679688,-105.7477035522461,-110.44696807861328,-79.80464935302734,-79.35765838623047,-76.39103698730469,-103.18753051757812,-122.46632385253906,-118.72805786132812,-80.09547424316406,-78.7674560546875,-77.64005279541016,-101.89361572265625,-101.64997863769531,-102.31187438964844,-79.47431182861328,-74.2759017944336,-76.78153228759766
all guys find out who some patient was scaring.,-81.26028442382812,-83.36241149902344,-92.11607360839844,-88.57337951660156,-89.8344497680664,-90.1411361694336,-93.9311294555664,-89.99361419677734,-107.0645751953125,-89.97171020507812,-93.03437805175781,-92.25311279296875,-87.3993148803711,-85.17159271240234,-85.94993591308594,-93.44270324707031,-90.99339294433594,-93.44982147216797
all guys find out that some patient was scaring.,-79.93956756591797,-81.10079956054688,-91.4155044555664,-73.5431137084961,-76.73206329345703,-77.01886749267578,-93.08171844482422,-87.1848373413086,-107.75701904296875,-74.09584045410156,-78.53987884521484,-78.93014526367188,-84.19290161132812,-85.6181640625,-87.38847351074219,-88.54755401611328,-80.61236572265625,-80.67305755615234
nina has learned who most men sound like.,-70.66810607910156,-78.81089782714844,-74.82791900634766,-80.52458953857422,-93.3259048461914,-77.40791320800781,-84.17598724365234,-84.83106231689453,-85.17596435546875,-81.0239486694336,-98.21637725830078,-77.74868774414062,-76.71417999267578,-70.44149017333984,-69.72462463378906,-73.71057891845703,-78.11327362060547,-81.43499755859375
nina has learned that most men sound like.,-66.19613647460938,-72.6547622680664,-70.82453918457031,-74.3791275024414,-77.82431030273438,-71.11880493164062,-73.81011962890625,-74.33928680419922,-77.87109375,-74.07433319091797,-82.1185073852539,-73.89176940917969,-68.95133209228516,-64.87818145751953,-65.67130279541016,-64.15204620361328,-72.03759002685547,-72.91261291503906
