sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13
"der fahrgast , den der matrose mag , schaukelt",-13.309992790222168,-13.751738548278809,-13.457348823547363,-23.37470245361328,-21.26041841506958,-23.404221057891846
"die fahrgäste , die der matrose mag , schaukelt",-13.072648048400879,-13.989538192749023,-12.621342658996582,-24.700578212738037,-20.24458885192871,-21.906602382659912
"der fahrgast , den die matrosen mögen , schaukelt",-12.998512268066406,-13.916037559509277,-14.120003700256348,-23.240620613098145,-21.901516914367676,-21.342020988464355
"die fahrgäste , die die matrosen mögen , schaukelt",-12.769279479980469,-14.303186416625977,-13.666991233825684,-24.221888542175293,-21.162420749664307,-20.123212814331055
"die fahrgäste , die der matrose mag , schaukeln",-15.090696334838867,-15.19344425201416,-14.273150444030762,-27.14020538330078,-21.344939708709717,-26.16446590423584
"der fahrgast , den der matrose mag , schaukeln",-15.000215530395508,-14.807699203491211,-14.653709411621094,-28.918883323669434,-22.333232879638672,-27.728001594543457
"die fahrgäste , die die matrosen mögen , schaukeln",-15.376482963562012,-16.522384643554688,-14.947030067443848,-25.420363426208496,-19.24626111984253,-22.929412841796875
"der fahrgast , den die matrosen mögen , schaukeln",-15.285319328308105,-16.1065731048584,-15.547222137451172,-25.71627712249756,-19.62879705429077,-24.08072280883789
"der fahrgast , den der matrose vermeidet , schaukelt",-12.34292984008789,-13.598339080810547,-13.089885711669922,-23.221917152404785,-23.259734630584717,-23.454883098602295
"die fahrgäste , die der matrose vermeidet , schaukelt",-12.187021255493164,-13.973493576049805,-12.186784744262695,-24.823725700378418,-22.553528785705566,-22.55645179748535
"der fahrgast , den die matrosen vermeiden , schaukelt",-12.233806610107422,-13.993494033813477,-13.517851829528809,-23.26747465133667,-23.463653564453125,-21.671585083007812
"die fahrgäste , die die matrosen vermeiden , schaukelt",-11.96069622039795,-14.48658275604248,-12.869192123413086,-24.15408229827881,-22.65453338623047,-20.84754180908203
"die fahrgäste , die der matrose vermeidet , schaukeln",-15.713116645812988,-17.45191192626953,-16.034215927124023,-27.615239143371582,-21.286027908325195,-25.145713806152344
"der fahrgast , den der matrose vermeidet , schaukeln",-15.601704597473145,-17.16771125793457,-16.494529724121094,-28.6358003616333,-22.60520648956299,-25.928492546081543
"die fahrgäste , die die matrosen vermeiden , schaukeln",-15.655609130859375,-18.090953826904297,-15.600202560424805,-25.51351547241211,-19.720355987548828,-24.49970817565918
