sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
philip thinks .,-26.011695861816406,-21.407169342041016,-17.66630744934082,-9.66549015045166,-9.893305778503418,-8.74694538116455,-25.073043823242188,-23.33528709411621,-16.97658920288086,-10.524133682250977,-10.92155933380127,-8.900638580322266,-33.59804916381836,-40.168521881103516,-37.01025390625,-37.87281799316406,-39.55641555786133,-36.85026931762695
philip affected .,-28.921056747436523,-26.936153411865234,-23.394195556640625,-14.073883056640625,-14.516552925109863,-12.417753219604492,-31.369125366210938,-33.782958984375,-29.152751922607422,-15.147500991821289,-15.170363426208496,-12.469893455505371,-46.01261901855469,-43.59081268310547,-53.91159439086914,-39.459136962890625,-39.25462341308594,-38.085086822509766
did philip read ?,-22.32809829711914,-24.88729476928711,-24.957691192626953,-38.455726623535156,-40.85908508300781,-42.24409103393555,-20.69586944580078,-22.646677017211914,-24.960308074951172,-40.742000579833984,-43.22953796386719,-42.94415283203125,-42.72676086425781,-35.706336975097656,-39.515586853027344,-39.447662353515625,-43.15045166015625,-37.63020706176758
did philip keep ?,-24.682811737060547,-25.057811737060547,-29.618898391723633,-44.268150329589844,-39.71731185913086,-48.46170425415039,-27.62628173828125,-27.145885467529297,-31.106796264648438,-47.612030029296875,-40.94489288330078,-50.722557067871094,-42.154788970947266,-37.042991638183594,-36.08865737915039,-45.78171920776367,-51.694725036621094,-45.38665771484375
richard waves .,-18.150596618652344,-19.145233154296875,-14.391504287719727,-15.268800735473633,-17.460634231567383,-17.494077682495117,-18.241708755493164,-20.279237747192383,-15.603495597839355,-17.156484603881836,-17.555326461791992,-18.77900505065918,-27.78740882873535,-26.43531036376953,-31.08203887939453,-25.83347511291504,-30.543933868408203,-30.221948623657227
richard let .,-13.853517532348633,-13.611551284790039,-12.029460906982422,-15.565903663635254,-20.37088966369629,-21.001266479492188,-14.392681121826172,-14.785890579223633,-15.151969909667969,-15.957836151123047,-22.443574905395508,-21.105499267578125,-31.23676872253418,-24.115093231201172,-25.827434539794922,-28.03342628479004,-28.121990203857422,-30.66617202758789
would richard run ?,-28.148008346557617,-25.018688201904297,-26.906951904296875,-39.55944061279297,-39.67537307739258,-41.562599182128906,-28.733104705810547,-28.8441104888916,-28.178470611572266,-36.16950607299805,-40.101654052734375,-42.03969192504883,-42.16853332519531,-39.39361572265625,-42.39674758911133,-46.10072326660156,-47.18171310424805,-42.34955978393555
would richard record ?,-28.415124893188477,-27.139432907104492,-30.80620002746582,-36.85061264038086,-39.19324493408203,-39.454078674316406,-28.98710823059082,-31.014745712280273,-38.52816390991211,-37.506839752197266,-38.355613708496094,-40.575401306152344,-41.58418273925781,-37.23611068725586,-41.27997589111328,-45.301185607910156,-48.86106872558594,-43.786720275878906
does her slave know ?,-29.406009674072266,-32.726051330566406,-34.08135986328125,-43.36906051635742,-44.71327590942383,-44.93297576904297,-28.602764129638672,-36.01576232910156,-36.3926887512207,-44.88355255126953,-47.94830322265625,-48.08305358886719,-50.82429504394531,-45.57289123535156,-46.84914016723633,-45.259395599365234,-48.462467193603516,-45.821380615234375
does her slave use ?,-32.347862243652344,-33.22761917114258,-36.72106170654297,-42.94504928588867,-43.37866973876953,-42.91828155517578,-35.291709899902344,-35.1609992980957,-38.79804229736328,-44.54161071777344,-47.22990036010742,-45.94673156738281,-50.6069450378418,-47.6663932800293,-48.32976531982422,-47.727561950683594,-49.81084060668945,-47.724952697753906
