sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13
der feind zweifelt am wetter und konstruiert ein modell,-12.147660255432129,-14.626265525817871,-14.324663639068604,-14.77629280090332,-15.96672248840332,-15.047402381896973
die feinde zweifeln am wetter und konstruiert ein modell,-13.833815574645996,-13.131698608398438,-13.860288619995117,-15.326761245727539,-17.617817878723145,-15.292740821838379
die feinde zweifeln am wetter und konstruieren ein modell,-12.346163749694824,-11.092677116394043,-13.539756774902344,-15.076372146606445,-14.234160423278809,-14.556092262268066
der feind zweifelt am wetter und konstruieren ein modell,-11.358022689819336,-13.893562316894531,-14.449283123016357,-16.478351593017578,-15.186367988586426,-17.1216459274292
der feind zweifelt am wetter und fürchtet den starken sturm,-12.151185035705566,-13.540009021759033,-10.831289291381836,-12.7871413230896,-11.940282344818115,-15.715569496154785
die feinde zweifeln am wetter und fürchtet den starken sturm,-13.757432460784912,-15.495195865631104,-12.816856861114502,-15.447328090667725,-14.773176193237305,-17.858139514923096
die feinde zweifeln am wetter und fürchten den starken sturm,-13.858200550079346,-15.42620038986206,-12.83605432510376,-12.720616340637207,-14.163355827331543,-10.599259853363037
der feind zweifelt am wetter und fürchten den starken sturm,-14.680519104003906,-14.60567045211792,-12.037885665893555,-11.740687370300293,-12.20415210723877,-11.212660789489746
der feind zweifelt am wetter und schält den reifen grünen apfel,-13.213091850280762,-12.21304702758789,-10.53150463104248,-15.089043140411377,-16.34041976928711,-14.714873313903809
die feinde zweifeln am wetter und schält den reifen grünen apfel,-14.730317115783691,-13.176202774047852,-12.995028495788574,-14.788912773132324,-16.765604496002197,-14.752252578735352
die feinde zweifeln am wetter und schälen den reifen grünen apfel,-12.541566848754883,-12.953936576843262,-12.562262535095215,-13.898427963256836,-13.261616230010986,-14.969943523406982
der feind zweifelt am wetter und schälen den reifen grünen apfel,-13.14211368560791,-14.762606620788574,-11.617542266845703,-16.333744049072266,-14.579705715179443,-15.516079902648926
der feind zweifelt am wetter und taucht in das wasser des meeres,-10.774651527404785,-8.89745044708252,-9.992377281188965,-11.271742343902588,-11.606272220611572,-11.505206108093262
die feinde zweifeln am wetter und taucht in das wasser des meeres,-13.165955543518066,-10.744895935058594,-10.85330867767334,-12.723877429962158,-11.988261699676514,-11.86056900024414
die feinde zweifeln am wetter und tauchen in das wasser des meeres,-10.78661060333252,-9.578551292419434,-11.120404243469238,-9.063921451568604,-9.901241779327393,-10.076387405395508
der feind zweifelt am wetter und tauchen in das wasser des meeres,-10.880850791931152,-9.930315017700195,-11.521354675292969,-8.739490985870361,-10.399805545806885,-11.575665473937988
der feind zweifelt am wetter und kennt die antwort auf die frage,-8.75568675994873,-9.16430950164795,-9.555623054504395,-10.943410873413086,-10.381464004516602,-12.997689247131348
die feinde zweifeln am wetter und kennt die antwort auf die frage,-10.972376823425293,-11.45345401763916,-11.806251525878906,-13.07154369354248,-11.915088653564453,-13.032387733459473
die feinde zweifeln am wetter und kennen die antwort auf die frage,-11.700064659118652,-10.120774269104004,-11.023228645324707,-14.2824068069458,-14.623475074768066,-12.136795997619629
der feind zweifelt am wetter und kennen die antwort auf die frage,-11.913990020751953,-11.152775764465332,-12.2294921875,-13.759994506835938,-14.77768325805664,-12.976359367370605
der feind zweifelt am wetter und schreibt einen brief an verwandte,-8.710725784301758,-8.603174209594727,-9.621875762939453,-11.363661766052246,-11.703454971313477,-10.58687973022461
