sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
the students perform.,-41.82914352416992,-44.75157165527344,-46.16416549682617,-33.32231903076172,-39.32787322998047,-35.26142883300781,-41.80280303955078,-43.126399993896484,-53.98194885253906,-35.5985107421875,-39.739715576171875,-35.4517936706543,-48.33295440673828,-48.49534606933594,-48.84751892089844,-37.368141174316406,-30.02001190185547,-36.84804916381836
the student perform.,-43.09867858886719,-46.313053131103516,-49.76455307006836,-42.48787307739258,-42.47807693481445,-35.64164733886719,-46.3074836730957,-46.72469711303711,-55.31304931640625,-46.412269592285156,-43.33449935913086,-33.68019104003906,-51.251304626464844,-46.266319274902344,-47.0940055847168,-38.042930603027344,-32.47401428222656,-39.938629150390625
the associations talk about stacey.,-78.37248229980469,-73.80810546875,-72.42758178710938,-65.71449279785156,-69.04682922363281,-72.616455078125,-86.94152069091797,-82.67540740966797,-72.2343521118164,-71.4250717163086,-68.02328491210938,-73.07807922363281,-75.70574951171875,-70.18356323242188,-68.21611022949219,-52.39673614501953,-53.60102844238281,-55.921566009521484
the association talk about stacey.,-71.92979431152344,-67.21451568603516,-65.85835266113281,-58.68416976928711,-62.906898498535156,-66.94263458251953,-78.47091674804688,-70.20916748046875,-64.25858306884766,-62.25865173339844,-60.569854736328125,-70.10926055908203,-74.88622283935547,-70.0692367553711,-69.87626647949219,-48.65530776977539,-51.28464889526367,-52.57347106933594
the glove tightens.,-55.822452545166016,-58.45702362060547,-56.99199676513672,-51.83325958251953,-51.49888610839844,-44.321041107177734,-60.882667541503906,-62.377166748046875,-62.25667190551758,-57.372222900390625,-51.596282958984375,-47.20123291015625,-59.523860931396484,-59.50693130493164,-63.17284393310547,-48.83475875854492,-46.82131576538086,-52.45741271972656
the gloves tightens.,-55.558197021484375,-57.93230438232422,-57.25670623779297,-52.22513198852539,-50.91912841796875,-49.05912399291992,-64.6783676147461,-66.3838119506836,-64.09066772460938,-54.28331756591797,-49.25857925415039,-53.642642974853516,-54.74793243408203,-55.29624557495117,-58.272308349609375,-49.60047912597656,-48.881591796875,-51.77865982055664
the actresses compromise.,-51.47361755371094,-53.62971496582031,-54.51496505737305,-24.86834144592285,-27.495647430419922,-24.512022018432617,-47.52354431152344,-48.769134521484375,-62.37263488769531,-21.439619064331055,-27.228330612182617,-25.324384689331055,-80.34696960449219,-72.99199676513672,-78.9981689453125,-42.17515563964844,-40.05741500854492,-42.17546081542969
the actress compromise.,-46.9508056640625,-49.788204193115234,-53.96791458129883,-20.1922607421875,-27.231128692626953,-27.917133331298828,-44.91535186767578,-46.509796142578125,-58.52193069458008,-18.669998168945312,-25.976930618286133,-26.435585021972656,-71.1574478149414,-62.68101501464844,-72.92005157470703,-34.82113265991211,-37.296897888183594,-35.9041748046875
the customer is suffering.,-44.88764572143555,-47.037109375,-43.83329772949219,-42.30029296875,-45.11259841918945,-46.269187927246094,-47.48533630371094,-50.32744598388672,-46.513671875,-43.617584228515625,-47.49250030517578,-45.82330322265625,-53.389678955078125,-49.38715362548828,-50.90902328491211,-37.04639434814453,-35.53496551513672,-36.391929626464844
the customers is suffering.,-44.91648864746094,-50.55236053466797,-46.93348693847656,-44.54112243652344,-52.02153015136719,-50.97735595703125,-42.14599609375,-53.845916748046875,-51.46155548095703,-47.025733947753906,-55.02693176269531,-51.96961212158203,-53.38177490234375,-52.74030303955078,-57.693092346191406,-43.96525573730469,-43.09253692626953,-44.51117706298828
the cashiers marry.,-44.69869613647461,-53.088279724121094,-49.718448638916016,-44.405330657958984,-46.6026725769043,-48.78358459472656,-47.59602737426758,-54.55793380737305,-51.0,-45.20561218261719,-45.77869415283203,-51.478763580322266,-54.6894645690918,-52.535987854003906,-61.040740966796875,-53.40525436401367,-49.38726806640625,-50.040340423583984
the cashier marry.,-44.95427322387695,-48.39134216308594,-50.001529693603516,-43.88745880126953,-44.26042175292969,-42.7600212097168,-43.096412658691406,-51.40386199951172,-49.173011779785156,-43.066871643066406,-43.75330352783203,-45.61595916748047,-60.07237243652344,-55.90449905395508,-64.47290802001953,-48.510066986083984,-44.54808044433594,-42.938636779785156
the hospital appreciates claire.,-56.424095153808594,-62.608306884765625,-58.653221130371094,-40.968994140625,-39.45664978027344,-39.33614730834961,-59.57280731201172,-67.31493377685547,-71.15202331542969,-41.789825439453125,-37.34431076049805,-40.726444244384766,-60.60895538330078,-66.08770751953125,-56.80280685424805,-62.74979019165039,-61.75054931640625,-66.63966369628906
the hospitals appreciates claire.,-66.24745178222656,-68.78739929199219,-63.549373626708984,-31.862655639648438,-30.284578323364258,-28.809574127197266,-70.25838470458984,-73.48233032226562,-81.24500274658203,-29.356489181518555,-27.61831283569336,-30.17082977294922,-68.30545043945312,-72.31646728515625,-64.47994995117188,-65.15629577636719,-66.60498046875,-70.41471099853516
the dress crumples.,-43.76704025268555,-43.00897979736328,-42.81776809692383,-37.7848014831543,-46.33205032348633,-48.43181228637695,-46.85788345336914,-44.72772216796875,-46.34910202026367,-38.970306396484375,-44.956298828125,-53.87347412109375,-61.197574615478516,-58.7249755859375,-61.762969970703125,-55.474082946777344,-56.06829833984375,-57.39061737060547
the dresses crumples.,-50.555885314941406,-46.120304107666016,-44.84086608886719,-40.42491149902344,-47.8932991027832,-48.02822494506836,-53.416046142578125,-51.242530822753906,-46.96896743774414,-41.913238525390625,-49.79657745361328,-54.22230911254883,-60.06816101074219,-55.24181365966797,-63.27409744262695,-62.029693603515625,-55.99517822265625,-60.91758728027344
the customers haven't whispered.,-46.75456619262695,-50.05695724487305,-45.95966339111328,-31.729732513427734,-32.063560485839844,-39.609683990478516,-58.05335998535156,-51.1521110534668,-50.49590301513672,-28.047494888305664,-37.252830505371094,-36.163169860839844,-46.45576477050781,-47.805419921875,-49.410972595214844,-71.09056854248047,-60.910736083984375,-72.05852508544922
the customer haven't whispered.,-48.4359016418457,-50.429256439208984,-49.28134536743164,-36.74395751953125,-35.32826232910156,-44.589500427246094,-61.02215576171875,-55.185604095458984,-54.87852478027344,-33.60844802856445,-38.78818893432617,-39.246543884277344,-48.314395904541016,-51.14862060546875,-50.55341339111328,-72.26484680175781,-63.99645233154297,-73.0716323852539
the adult talks.,-50.645816802978516,-49.96510314941406,-48.84068298339844,-36.585914611816406,-34.694759368896484,-32.254051208496094,-55.703712463378906,-57.946380615234375,-53.940860748291016,-36.91863250732422,-34.76316833496094,-32.651275634765625,-48.702003479003906,-48.215476989746094,-46.29128646850586,-33.49173355102539,-34.06277847290039,-31.286989212036133
the adults talks.,-49.528011322021484,-49.41047668457031,-49.893863677978516,-38.87205505371094,-40.25383758544922,-42.6069221496582,-54.590476989746094,-55.57316207885742,-55.270599365234375,-39.161197662353516,-42.43995666503906,-42.66600036621094,-51.19721984863281,-50.49671936035156,-48.65060806274414,-40.093727111816406,-39.4398193359375,-38.62702941894531
the universities aren't working hard.,-49.66533660888672,-56.65434265136719,-50.977783203125,-47.831520080566406,-56.844032287597656,-53.894474029541016,-56.26060104370117,-62.886993408203125,-52.657386779785156,-49.346500396728516,-57.286903381347656,-53.19671630859375,-56.013771057128906,-54.7582893371582,-55.94721984863281,-41.04520034790039,-39.10866928100586,-42.796600341796875
the university aren't working hard.,-49.32094955444336,-49.05345153808594,-51.286529541015625,-49.76507568359375,-59.07266616821289,-56.436500549316406,-57.59499740600586,-50.947933197021484,-50.78074264526367,-51.14047622680664,-59.9318962097168,-56.3719482421875,-57.67660903930664,-57.46894454956055,-56.14727783203125,-45.445648193359375,-42.2591667175293,-47.623416900634766
the adult has concealed all stories.,-78.88880920410156,-76.69428253173828,-76.50615692138672,-56.97732162475586,-59.51094055175781,-57.00559997558594,-96.29309844970703,-87.08323669433594,-81.9459457397461,-55.69675064086914,-60.04509735107422,-58.240150451660156,-87.00279235839844,-80.80119323730469,-82.78457641601562,-74.84234619140625,-54.77394104003906,-67.98395538330078
the adults has concealed all stories.,-78.66645812988281,-77.37751770019531,-75.32166290283203,-63.947296142578125,-62.458770751953125,-58.19066619873047,-96.06014251708984,-87.30488586425781,-83.75962829589844,-64.619140625,-64.3037109375,-59.133087158203125,-86.30238342285156,-81.6734619140625,-82.6925277709961,-77.2900161743164,-57.34445571899414,-66.87533569335938
the universities appreciate all teenagers.,-78.22138977050781,-83.79650115966797,-84.60523986816406,-39.16953659057617,-36.41017532348633,-37.077510833740234,-89.09713745117188,-94.27766418457031,-92.22212219238281,-38.47896194458008,-32.1572151184082,-37.367347717285156,-93.30510711669922,-94.5023193359375,-100.7552490234375,-63.06946563720703,-58.909812927246094,-64.32897186279297
the university appreciate all teenagers.,-74.73428344726562,-73.28180694580078,-81.11738586425781,-37.978546142578125,-34.042110443115234,-37.984561920166016,-79.08370971679688,-82.45112609863281,-88.7071304321289,-37.75450897216797,-29.7569522857666,-38.09624481201172,-96.81660461425781,-93.94757843017578,-102.13533020019531,-63.27031707763672,-61.35829544067383,-67.11711883544922
