sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
the book that i like is poor .,-33.424461364746094,-32.22932434082031,-32.15052032470703,-46.492671966552734,-47.67938232421875,-49.166473388671875,-32.14457321166992,-34.39296340942383,-36.922019958496094,-47.71739196777344,-49.90693664550781,-47.122737884521484,-60.85346984863281,-51.89997482299805,-50.79478454589844,-38.87022018432617,-43.92530059814453,-39.555816650390625
the books that i like is poor .,-34.68168640136719,-34.973724365234375,-34.19718933105469,-46.99058151245117,-49.226646423339844,-53.12747573852539,-30.371885299682617,-37.02559280395508,-40.69965362548828,-48.13904571533203,-53.377315521240234,-53.092132568359375,-64.03111267089844,-57.08491516113281,-53.3045539855957,-44.1800651550293,-47.46693801879883,-42.523895263671875
the book that you like is poor .,-33.44771194458008,-31.031631469726562,-31.576400756835938,-45.448272705078125,-45.96498107910156,-47.42717361450195,-32.81401062011719,-31.476154327392578,-37.28556442260742,-46.331016540527344,-45.831974029541016,-44.89430236816406,-58.93083572387695,-50.2184944152832,-53.376686096191406,-34.269229888916016,-37.818233489990234,-35.965980529785156
the books that you like is poor .,-34.184410095214844,-33.349853515625,-32.97568893432617,-46.27796936035156,-50.36507034301758,-51.5406608581543,-32.60930633544922,-33.978424072265625,-38.81377029418945,-47.60935592651367,-52.309242248535156,-52.072391510009766,-63.984901428222656,-55.43419647216797,-55.50176239013672,-40.60196304321289,-42.16000747680664,-39.8980712890625
the book that we like is poor .,-35.50985336303711,-32.80856704711914,-34.78425216674805,-47.44134521484375,-47.146240234375,-49.0550422668457,-35.39446258544922,-33.47800827026367,-42.019615173339844,-49.69768524169922,-48.44134521484375,-47.00358581542969,-62.18647384643555,-52.406002044677734,-54.42582321166992,-35.8045768737793,-38.50647735595703,-35.9083251953125
the books that we like is poor .,-36.063941955566406,-34.760841369628906,-36.22966766357422,-47.264244079589844,-49.58195495605469,-51.38224792480469,-33.958770751953125,-36.389076232910156,-43.602622985839844,-49.75217819213867,-51.42821502685547,-51.016693115234375,-66.09217834472656,-57.26493453979492,-56.260528564453125,-40.69861602783203,-42.4708366394043,-39.21742248535156
the book that he likes is poor .,-39.67770004272461,-32.92022705078125,-37.14458465576172,-52.65528869628906,-45.552284240722656,-48.56554412841797,-44.121368408203125,-33.581146240234375,-42.97614669799805,-54.5604248046875,-46.74134826660156,-48.76829147338867,-55.2226448059082,-53.631412506103516,-48.63298416137695,-43.157894134521484,-43.884010314941406,-40.01959228515625
the books that he likes is poor .,-40.23355484008789,-35.65594482421875,-38.94303894042969,-51.210975646972656,-47.588035583496094,-52.88831329345703,-43.49491500854492,-39.79226303100586,-43.45765686035156,-53.02333068847656,-50.753841400146484,-54.11292266845703,-60.44551086425781,-59.39651107788086,-50.63939666748047,-46.05664825439453,-48.571044921875,-45.38713455200195
the book that she likes is poor .,-39.63324737548828,-34.5793342590332,-36.92011642456055,-56.28553009033203,-47.76308059692383,-48.67603302001953,-43.071468353271484,-34.65835952758789,-42.13176727294922,-57.783409118652344,-49.003089904785156,-48.31404495239258,-58.15030288696289,-55.63935852050781,-50.88715744018555,-42.940101623535156,-45.61228942871094,-41.20051193237305
the books that she likes is poor .,-41.01361083984375,-37.00588607788086,-39.686866760253906,-55.79170608520508,-50.807308197021484,-51.47425842285156,-44.90351867675781,-39.099754333496094,-43.462398529052734,-58.16221618652344,-55.31721115112305,-52.862030029296875,-62.35642623901367,-60.6572380065918,-52.65209197998047,-45.941062927246094,-50.750892639160156,-47.05255889892578
